location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,gender,age_range,min_age,max_age,population,reference_period_start,reference_period_end
#country+code,#meta+has_hrp,#meta+in_gho,#adm1+name+provider,#adm2+name+provider,#adm1+code,#adm1+name,#adm2+code,#adm2+name,#gender+code,#age+range,#age+min,#age+max,#population,#date+start,#date+end
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,f,25-29,25,29,26530,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,f,30-34,30,34,19815,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,f,35-39,35,39,18711,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,f,40-44,40,44,16619,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,f,45-49,45,49,12790,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,f,50-54,50,54,9882,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,f,55-59,55,59,7047,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,f,60-64,60,64,4994,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,f,65-69,65,69,2997,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,f,70-74,70,74,1781,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,f,75-79,75,79,1064,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,f,80+,80,None,910,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,m,0-4,0,4,75291,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,m,5-9,5,9,61541,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,m,10-14,10,14,55453,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,m,15-19,15,19,51578,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,m,20-24,20,24,36207,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,m,25-29,25,29,27759,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,m,30-34,30,34,21120,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,m,35-39,35,39,14514,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,m,40-44,40,44,11836,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,m,45-49,45,49,12161,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,m,50-54,50,54,11076,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,m,55-59,55,59,9160,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,m,60-64,60,64,7230,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,m,65-69,65,69,4518,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,m,70-74,70,74,2849,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,m,75-79,75,79,1833,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,m,80+,80,None,1518,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,all,0-4,0,4,148967,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,all,5-9,5,9,122418,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,all,10-14,10,14,110263,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,all,15-19,15,19,106481,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,all,20-24,20,24,77087,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,all,25-29,25,29,54289,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,all,30-34,30,34,40935,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,all,35-39,35,39,33225,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,all,40-44,40,44,28455,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,all,45-49,45,49,24951,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,all,50-54,50,54,20958,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,all,55-59,55,59,16207,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,all,60-64,60,64,12224,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,all,65-69,65,69,7515,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,all,70-74,70,74,4630,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,all,75-79,75,79,2897,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,all,80+,80,None,2428,2024-01-01,2024-12-31
SDN,True,True,Central Darfur,,SD06,Central Darfur,SD06-XXX,UNSPECIFIED,f,all,None,None,484971,2024-01-01,2024-12-31
SDN,True,True,Central Darfur,,SD06,Central Darfur,SD06-XXX,UNSPECIFIED,m,all,None,None,458750,2024-01-01,2024-12-31
SDN,True,True,Central Darfur,,SD06,Central Darfur,SD06-XXX,UNSPECIFIED,all,all,None,None,943721,2024-01-01,2024-12-31
SDN,True,True,Central Darfur,,SD06,Central Darfur,SD06-XXX,UNSPECIFIED,f,0-4,0,4,81433,2024-01-01,2024-12-31
